LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,IPC Url ,IPC,PrimaryClass,First4level,Filingdate1,B4,B3,B2,B1,Q0,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup,,,,,,,
No Patents Available (On Lex Machina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,http://law.lexmachina.com/cases/1000,Cognex Corporation v. Natl Instruments,1:00-cv-00442,D.Del.,2000,  5/2/2000,0,8,No Patents Available from Lex Machina,,,,,,,5/2/2000,Not Available,,,,,,,,,Cognex Corporation,Natl Instruments,2423,0,1,,,,,,,
10000,http://law.lexmachina.com/cases/10000,"Ivoclar Vivadent,, et al v. Dental/Medical",1:01-cv-00121,W.D.N.Y.,2001, 2/16/2001,0,8,No Patents Available from Lex Machina,,,,,,,2/16/2001,Not Available,,,,,,,,,"Ivoclar Vivadent,, et al",Dental/Medical,3549,1,0,,,,,,,
1000000002,http://law.lexmachina.com/cases/1000000002,"Yakima Products Inc v. Industri Ab Thule, et al",3:00-cv-00024,N.D.Cal.,2000,  1/4/2000,0,8,No Patents Available from Lex Machina,,,,,,,1/4/2000,Not Available,,,,,,,,,Yakima Products Inc,"Industri Ab Thule, et al",5972,1,0,,,,,,,
1000000010,http://law.lexmachina.com/cases/1000000010,Trans Industrial v. Time Warner Inc.,3:00-cv-00757,N.D.Cal.,2000,  3/2/2000,0,8,No Patents Available from Lex Machina,,,,,,,3/2/2000,Not Available,,,,,,,,,Trans Industrial,Time Warner Inc.,5565,1,0,,,,,,,
1000000021,http://law.lexmachina.com/cases/1000000021,"Senetek PLC, et al v. Ortega",3:00-cv-01020,N.D.Cal.,2000, 3/23/2000,0,8,No Patents Available from Lex Machina,,,,,,,3/23/2000,Not Available,,,,,,,,,"Senetek PLC, et al",Ortega,5006,1,0,,,,,,,
1000000025,http://law.lexmachina.com/cases/1000000025,Informix Software v. International Bus.,3:00-cv-01095,N.D.Cal.,2000, 3/28/2000,0,8,No Patents Available from Lex Machina,,,,,,,3/28/2000,Not Available,,,,,,,,,Informix Software,International Bus.,3453,1,0,,,,,,,
1000000030,http://law.lexmachina.com/cases/1000000030,"Simpson, et al v. Baer, et al",3:00-cv-01241,N.D.Cal.,2000, 4/10/2000,0,"8, 9",No Patents Available from Lex Machina,,,,,,,4/10/2000,Not Available,,,,,,,,,"Simpson, et al","Baer, et al",7118,1,0,,,,,,,
1000000038,http://law.lexmachina.com/cases/1000000038,"Stenosync, Inc. v. Barkley, et al",3:00-cv-01786,N.D.Cal.,2000, 5/17/2000,0,7,No Patents Available from Lex Machina,,,,,,,5/17/2000,Not Available,,,,,,,,,"Stenosync, Inc.","Barkley, et al",1537,1,0,,,,,,,
1000000039,http://law.lexmachina.com/cases/1000000039,"Business Objects v. Cognos Incorporated, et al",3:00-cv-01816,N.D.Cal.,2000,  5/5/2000,0,8,No Patents Available from Lex Machina,,,,,,,5/5/2000,Not Available,,,,,,,,,Business Objects,"Cognos Incorporated, et al",2235,1,0,,,,,,,
1000000046,http://law.lexmachina.com/cases/1000000046,Workrite Ergonomic v. Ergonomic Concepts,3:00-cv-02023,N.D.Cal.,2000,  6/6/2000,0,8,No Patents Available from Lex Machina,,,,,,,6/6/2000,Not Available,,,,,,,,,Workrite Ergonomic,Ergonomic Concepts,5934,1,0,,,,,,,
1000000050,http://law.lexmachina.com/cases/1000000050,"E-Y Labs, Inc. v. Tao",3:00-cv-02293,N.D.Cal.,2000, 6/28/2000,0,8,No Patents Available from Lex Machina,,,,,,,6/28/2000,Not Available,,,,,,,,,"E-Y Labs, Inc.",Tao,2903,1,0,,,,,,,
1000000053,http://law.lexmachina.com/cases/1000000053,Dantz Development v. Omni Development Inc,3:00-cv-02389,N.D.Cal.,2000,  7/6/2000,0,8,No Patents Available from Lex Machina,,,,,,,7/6/2000,Not Available,,,,,,,,,Dantz Development,Omni Development Inc,2570,1,0,,,,,,,
1000000059,http://law.lexmachina.com/cases/1000000059,"Osmotics Corporation v. Senetek PLC, et al",3:00-cv-02747,N.D.Cal.,2000,  8/2/2000,0,8,No Patents Available from Lex Machina,,,,,,,8/2/2000,Not Available,,,,,,,,,Osmotics Corporation,"Senetek PLC, et al",4413,1,0,,,,,,,
