LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,Patent Url,IPC,PrimaryClass,First4level,Formatted 1st4Lvl,Filingdate1,B4,B3,B2,B1,O1,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup
1,http://law.lexmachina.com/cases/2000068558,Milwaukee Electric Tool Corporation et al v. Tooltechnic Systems LLC,2:14-cv-01294,E.D.Wis.,2014,10/16/2014,0,8,"7554290,7944173,7999510",3,7554290,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7554290,H01M 10/46 (20060101),H01M 10/46 ,H01M 10,H01M  10,10/16/2014,9880,9062,8146,10250,11608,9096,10058,11273,13451,Milwaukee Electric Tool Corporation et al,Tooltechnic Systems LLC,4068,0,1
1000000111,http://law.lexmachina.com/cases/1000000111,"E-Pass Technologies v. 3COM, INC., et al",4:00-cv-02255,N.D.Cal.,2000, 6/26/2000,0,5,5276311,1,5276311,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5276311,G07C 9/00 (20060101); G07F 7/10 (20060101); G06K 19/073 (20060101); G06K 019/00 (); G06K 019/07 (),G07C 9/00,G07C 9,G07C   9,6/26/2000,535,463,428,482,557,515,584,681,661,E-Pass Technologies,"3COM, INC., et al",1068,1,0
1000000180,http://law.lexmachina.com/cases/2000002664,"Colder Products Company v. Value Plastics, Inc.",0:10-cv-01761,D.Minn.,2010, 4/23/2010,0,8,7695020,1,7695020,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7695020,F16L 55/00 (20060101); F16L 35/00 (20060101),F16L 55/00 ,F16L 55,F16L  55,4/23/2010,650,644,710,627,687,645,704,765,762,Colder Products Company,"Value Plastics, Inc.",2426,1,0
1000000198,http://law.lexmachina.com/cases/2000067887,"SYNCHRONOSS TECHNOLOGIES, INC. v. FUNAMBOL, INC.",3:14-cv-06017,D.N.J.,2014, 9/26/2014,0,8,"6671757,6757696,7587446",3,6671757,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6671757,G06F 12/00 (20060101); G06F 13/00 (20060101); G06F 15/16 (20060101); G06F 013/00 (),G06F 12/00 ,G06F 12,G06F  12,9/26/2014,3141,3315,3059,2620,2955,3225,2732,2829,2989,"SYNCHRONOSS TECHNOLOGIES, INC.","FUNAMBOL, INC.",5328,0,2
1000000202,http://law.lexmachina.com/cases/2000053021,"ConforMIS, Inc. v. Wright Medical Group, Inc. et al",1:13-cv-12312,D.Mass.,2013, 9/19/2013,0,8,"7534263,8062302,8066708,8460304,8551099",5,7534263,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7534263,A61F 2/08 (20060101); A61B 17/58 (20060101),A61F 2/08 ,A61F 2,A61F   2,9/19/2013,4185,4666,5280,4035,4151,4477,5921,3881,3882,"ConforMIS, Inc.","Wright Medical Group, Inc. et al",2463,1,0
1000000217,http://law.lexmachina.com/cases/2000047674,Acura Pharmaceuticals Inc. v. Ranbaxy Inc. et al,1:13-cv-00750,D.Del.,2013, 4/29/2013,0,8,"7201920,7510726,7981439,8409616,5409616",5,7201920,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7201920,A61K 9/20 (20060101); A01N 43/40 (20060101); A01N 43/46 (20060101); A01N 43/647 (20060101); A61K 31/135 (20060101); A61K 31/4468 (20060101); A61K 31/485 (20060101); A61K 9/48 (20060101),A61K 9/20 ,A61K 9,A61K   9,4/29/2013,7783,7675,9229,8198,8570,8307,10662,9499,8523,Acura Pharmaceuticals Inc.,Ranbaxy Inc. et al,1621,0,2
1000000239,http://law.lexmachina.com/cases/2000059765,"Mayfonk Athletic LLC v. Nike, Inc.",3:14-cv-00423,D.Or.,2014, 3/14/2014,0,8,"8253586,8860584",2,8253586,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8253586,G08C 19/22 (20060101); H04Q 9/00 (20060101),G08C 19/22 ,G08C 19,G08C  19,3/14/2014,289,334,350,316,257,256,279,270,226,Mayfonk Athletic LLC,"Nike, Inc.",3934,1,0
1000000253,http://law.lexmachina.com/cases/94896,"Dyson, Inc. v. Hoover, Inc. et al",1:09-cv-02307,N.D.Ill.,2009, 4/15/2009,0,8,7291190,1,7291190,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7291190,B01D 45/12 (20060101),B01D 45/12 ,B01D 45,B01D  45,4/15/2009,278,209,231,259,198,218,224,244,308,"Dyson, Inc.","Hoover, Inc. et al",2737,1,1
1000000264,http://law.lexmachina.com/cases/7381,SUN CHEMICAL CORPORATION v. MARKEM CORPORATION,3:05-cv-02565,D.N.J.,2005, 5/13/2005,0,8,6586492,1,6586492,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6586492,C09D 11/00 (20060101); C09D 011/00 (),C09D 11/00 ,C09D 11,C09D  11,5/13/2005,2348,2233,2434,2630,2420,2627,2888,2795,1723,SUN CHEMICAL CORPORATION,MARKEM CORPORATION,5276,1,1
1000000275,http://law.lexmachina.com/cases/1000000275,"IP Learn, LLC. v. Skillsoft Corporation",3:02-cv-02632,N.D.Cal.,2002, 5/31/2002,0,5,"5779486, 5934909, 6118973, 6126448, 6398556",5,5779486,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5779486,G09B 7/04 (20060101); G09B 7/00 (20060101); G09B 007/04 (),G09B 7/04,G09B 7,G09B   7,5/31/2002,232,257,234,256,219,202,291,263,229,"IP Learn, LLC.",Skillsoft Corporation,1155,1,1
